epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.4463,0.29947,0.51517,0.83608,0.77752,0.99911,0.92154,0.90504,0.21437,0.38505,0.76754,3e-05,3e-05,3e-05
2,76.2365,0.28139,0.50141,0.8309,0.77678,0.99911,0.92274,0.90997,0.20614,0.37975,0.76586,2.865e-05,2.865e-05,2.865e-05
3,113.131,0.27405,0.49162,0.83323,0.7728,0.99911,0.92271,0.90991,0.20254,0.37447,0.76538,2.73e-05,2.73e-05,2.73e-05
4,148.935,0.26728,0.46893,0.82847,0.79973,0.98482,0.92245,0.90936,0.20318,0.37099,0.76524,2.595e-05,2.595e-05,2.595e-05
5,185.989,0.271,0.48062,0.83166,0.80711,0.98433,0.92323,0.91283,0.19838,0.36873,0.76421,2.46e-05,2.46e-05,2.46e-05
6,222.45,0.26328,0.46789,0.82911,0.81313,0.98395,0.92094,0.91063,0.19799,0.36888,0.76448,2.325e-05,2.325e-05,2.325e-05
7,259.742,0.26269,0.46726,0.82691,0.81704,0.98456,0.9199,0.90832,0.19828,0.3687,0.76417,2.19e-05,2.19e-05,2.19e-05
8,294.512,0.26057,0.4822,0.8297,0.81854,0.98475,0.91896,0.90866,0.19664,0.36657,0.76355,2.055e-05,2.055e-05,2.055e-05
9,331.09,0.26408,0.48124,0.82729,0.81864,0.98482,0.91822,0.9079,0.19463,0.36682,0.76339,1.92e-05,1.92e-05,1.92e-05
10,367.81,0.26237,0.47014,0.82746,0.81708,0.98447,0.91864,0.9084,0.19517,0.36741,0.76328,1.785e-05,1.785e-05,1.785e-05
11,412.7,0.21716,0.41747,0.79623,0.81372,0.98323,0.91827,0.90724,0.19399,0.36942,0.7631,1.65e-05,1.65e-05,1.65e-05
12,448.359,0.21216,0.41165,0.79279,0.81295,0.98312,0.9204,0.9109,0.19595,0.36988,0.76337,1.515e-05,1.515e-05,1.515e-05
13,485.498,0.21078,0.4116,0.79098,0.81445,0.98308,0.91903,0.90952,0.19548,0.36917,0.7634,1.38e-05,1.38e-05,1.38e-05
14,520.308,0.20757,0.40094,0.78904,0.81449,0.98324,0.9161,0.90556,0.1945,0.36808,0.76307,1.245e-05,1.245e-05,1.245e-05
15,556.574,0.20768,0.40617,0.78943,0.81249,0.98375,0.91929,0.90972,0.1955,0.3682,0.76324,1.11e-05,1.11e-05,1.11e-05
16,592.874,0.20546,0.40235,0.78948,0.81536,0.98328,0.92008,0.90977,0.19524,0.36657,0.76308,9.75e-06,9.75e-06,9.75e-06
17,628.951,0.2056,0.40105,0.7901,0.81424,0.98326,0.92056,0.91036,0.19443,0.36674,0.76296,8.4e-06,8.4e-06,8.4e-06
18,664.553,0.2044,0.39902,0.79007,0.81471,0.98325,0.91852,0.90894,0.19366,0.36628,0.76299,7.05e-06,7.05e-06,7.05e-06
19,700.787,0.20403,0.39955,0.79037,0.81454,0.98315,0.92127,0.91185,0.19381,0.36684,0.76285,5.7e-06,5.7e-06,5.7e-06
20,736.169,0.20489,0.40214,0.78964,0.81458,0.98324,0.91747,0.90766,0.19408,0.36725,0.76287,4.35e-06,4.35e-06,4.35e-06
