epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.2406,0.28571,0.50257,0.83169,0.79912,0.99509,0.92464,0.91546,0.19553,0.36929,0.76545,3e-05,3e-05,3e-05
2,75.5764,0.26515,0.48974,0.82678,0.79803,0.99728,0.92762,0.91858,0.18755,0.36697,0.76421,2.865e-05,2.865e-05,2.865e-05
3,112.861,0.25925,0.4766,0.82979,0.79991,0.98153,0.92807,0.91883,0.18593,0.36598,0.76408,2.73e-05,2.73e-05,2.73e-05
4,149.064,0.25674,0.459,0.82547,0.79683,0.98136,0.93017,0.92308,0.18539,0.36527,0.76408,2.595e-05,2.595e-05,2.595e-05
5,185.827,0.25771,0.47059,0.82977,0.82068,0.96473,0.9196,0.91021,0.18324,0.3645,0.76375,2.46e-05,2.46e-05,2.46e-05
6,222.395,0.25405,0.46097,0.82665,0.79568,0.98129,0.92,0.91101,0.18272,0.36523,0.7637,2.325e-05,2.325e-05,2.325e-05
7,258.768,0.24939,0.45771,0.82361,0.78751,0.99782,0.92355,0.91339,0.18484,0.36555,0.76409,2.19e-05,2.19e-05,2.19e-05
8,294.287,0.24799,0.46868,0.82728,0.79189,0.99745,0.93132,0.92267,0.18255,0.36528,0.76376,2.055e-05,2.055e-05,2.055e-05
9,330.51,0.2527,0.46897,0.82573,0.79771,0.98143,0.92102,0.91086,0.18275,0.36521,0.76371,1.92e-05,1.92e-05,1.92e-05
10,366.776,0.2498,0.45973,0.82581,0.81957,0.96929,0.92528,0.91433,0.18235,0.36477,0.76359,1.785e-05,1.785e-05,1.785e-05
11,412.06,0.19642,0.40034,0.79024,0.81929,0.9625,0.9256,0.91738,0.18307,0.36896,0.76333,1.65e-05,1.65e-05,1.65e-05
12,448.205,0.19291,0.39439,0.78716,0.81852,0.96305,0.92376,0.91579,0.18455,0.3674,0.76374,1.515e-05,1.515e-05,1.515e-05
13,484.647,0.19042,0.39409,0.78678,0.81989,0.96247,0.92795,0.92021,0.18114,0.36813,0.76357,1.38e-05,1.38e-05,1.38e-05
14,521.665,0.18782,0.38911,0.78309,0.79399,0.98147,0.92853,0.92018,0.18178,0.36727,0.76359,1.245e-05,1.245e-05,1.245e-05
15,557.017,0.18946,0.39086,0.78443,0.79374,0.9815,0.92891,0.92047,0.18125,0.36792,0.76343,1.11e-05,1.11e-05,1.11e-05
16,592.835,0.18777,0.39019,0.7867,0.79632,0.98026,0.92861,0.92065,0.18163,0.36617,0.76351,9.75e-06,9.75e-06,9.75e-06
17,629.13,0.18738,0.3883,0.78573,0.79835,0.97987,0.92681,0.91848,0.18074,0.36675,0.76324,8.4e-06,8.4e-06,8.4e-06
18,664.741,0.18769,0.3871,0.78669,0.797,0.98014,0.92896,0.91997,0.1805,0.36575,0.76329,7.05e-06,7.05e-06,7.05e-06
19,700.459,0.18732,0.38799,0.78801,0.79781,0.97995,0.92793,0.92003,0.18071,0.36514,0.76312,5.7e-06,5.7e-06,5.7e-06
20,737.088,0.18792,0.39183,0.7864,0.7982,0.97985,0.92757,0.91923,0.18117,0.36515,0.76322,4.35e-06,4.35e-06,4.35e-06
